playerID,birthYear,nameFirst,nameLast,weight,height,bats,throws,debut
hudsoor01,1977.0,Orlando,Hudson,190.0,72.0,B,R,2002-07-24
hudsoti01,1975.0,Tim,Hudson,175.0,73.0,R,R,1999-06-08
huffau01,1976.0,Aubrey,Huff,225.0,76.0,L,R,2000-08-02
huffda01,1984.0,David,Huff,210.0,73.0,B,L,2009-05-17
huffge99,1872.0,George,Huff,,,,,
huffmch01,1985.0,Chad,Huffman,215.0,73.0,R,R,2010-06-13
huffmi01,1963.0,Mike,Huff,180.0,73.0,R,R,1989-08-07
huffmph01,1958.0,Phil,Huffman,180.0,74.0,R,R,1979-04-10
hughebo01,1971.0,Bobby,Hughes,237.0,76.0,R,R,1998-04-02
hughedu01,1982.0,Dusty,Hughes,190.0,70.0,L,L,2009-09-06
hugheja02,1985.0,Jared,Hughes,245.0,79.0,R,R,2011-09-07
hugheke01,1963.0,Keith,Hughes,210.0,75.0,L,L,1987-05-19
hughelu01,1984.0,Luke,Hughes,205.0,71.0,R,R,2010-04-28
hugheph01,1986.0,Phil,Hughes,250.0,77.0,R,R,2007-04-26
hugherh01,1983.0,Rhyne,Hughes,215.0,74.0,L,L,2010-04-24
hughetr01,1978.0,Travis,Hughes,235.0,77.0,R,R,2004-09-26
huismju01,1979.0,Justin,Huisman,195.0,73.0,R,R,2004-04-25
huismma01,1958.0,Mark,Huismann,195.0,75.0,R,R,1983-08-16
huismri01,1969.0,Rick,Huisman,200.0,75.0,R,R,1995-09-04
hulbewi99,1832.0,William,Hulbert,,,,,
huletti01,1960.0,Tim,Hulett,185.0,72.0,R,R,1983-09-15
hulettu01,1983.0,Tug,Hulett,185.0,70.0,L,R,2008-07-12
huller01,1979.0,Eric,Hull,185.0,71.0,R,R,2007-07-24
hulseda01,1968.0,David,Hulse,170.0,71.0,L,L,1992-08-11
humbeph01,1982.0,Philip,Humber,210.0,75.0,R,R,2006-09-24
humeto01,1953.0,Tom,Hume,185.0,73.0,R,R,1977-05-25
hummeti01,1978.0,Tim,Hummel,190.0,74.0,R,R,2003-08-26
humphmi01,1967.0,Mike,Humphreys,185.0,72.0,R,R,1991-07-29
hundlni01,1983.0,Nick,Hundley,205.0,73.0,R,R,2008-07-04
hundlto01,1969.0,Todd,Hundley,170.0,71.0,B,R,1990-05-18
huntebr01,1968.0,Brian,Hunter,195.0,72.0,R,L,1991-05-31
huntebr02,1971.0,Brian,Hunter,180.0,76.0,R,R,1994-06-27
huntece01,1988.0,Cedric,Hunter,200.0,71.0,L,L,2011-03-31
hunteji01,1964.0,Jim,Hunter,205.0,75.0,R,R,1991-05-17
hunteri01,1974.0,Rich,Hunter,185.0,73.0,R,R,1996-04-06
hunteto01,1975.0,Torii,Hunter,220.0,74.0,R,R,1997-08-22
hunteto02,1986.0,Tommy,Hunter,250.0,75.0,R,R,2008-08-01
huntra01,1960.0,Randy,Hunt,185.0,72.0,R,R,1985-06-04
huppeda01,1957.0,Dave,Huppert,190.0,73.0,R,R,1983-09-15
hurdlcl01,1957.0,Clint,Hurdle,195.0,75.0,L,R,1977-09-18
hurleer01,1985.0,Eric,Hurley,195.0,76.0,R,R,2008-06-12
hurstbi01,1970.0,Bill,Hurst,220.0,79.0,R,R,1996-09-18
hurstbr01,1958.0,Bruce,Hurst,200.0,76.0,L,L,1980-04-12
hurstja01,1967.0,James,Hurst,160.0,72.0,L,L,1994-04-04
hurstji01,1972.0,Jimmy,Hurst,225.0,78.0,R,R,1997-09-10
hurstjo01,1966.0,Jonathan,Hurst,175.0,75.0,R,R,1992-06-09
hurstti99,1865.0,Tim,Hurst,,,,,
hurtaed01,1970.0,Edwin,Hurtado,215.0,75.0,R,R,1995-05-22
huskebu01,1971.0,Butch,Huskey,244.0,75.0,R,R,1993-09-08
husonje01,1964.0,Jeff,Huson,180.0,75.0,L,R,1988-09-02
hutchch01,1977.0,Chad,Hutchinson,230.0,77.0,R,R,2001-04-04
hutchdr01,1990.0,Drew,Hutchison,195.0,75.0,L,R,2012-04-21
huttoma01,1970.0,Mark,Hutton,240.0,78.0,R,R,1993-07-23
hydebr99,1973.0,Brandon,Hyde,210.0,75.0,R,R,
